Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
100,22,8,122,6,Some Random Commen with Id 100
101,22,8,12,0,Some Random Commen with Id 101
102,22,8,156,3,Some Random Commen with Id 102
103,22,8,74,1,Some Random Commen with Id 103
104,22,8,15,0,Some Random Commen with Id 104
105,22,8,50,8,Some Random Commen with Id 105
106,22,8,11,2,Some Random Commen with Id 106
107,22,8,19,9,Some Random Commen with Id 107
108,22,8,177,5,Some Random Commen with Id 108
109,24,2,174,0,Some Random Commen with Id 109
110,25,7,20,9,Some Random Commen with Id 110
111,26,0,158,9,Some Random Commen with Id 111
112,27,1,110,8,Some Random Commen with Id 112
113,27,1,149,3,Some Random Commen with Id 113
114,27,1,199,3,Some Random Commen with Id 114
115,27,1,187,3,Some Random Commen with Id 115
116,27,1,135,2,Some Random Commen with Id 116
117,27,1,195,1,Some Random Commen with Id 117
118,27,1,145,4,Some Random Commen with Id 118
119,27,1,106,6,Some Random Commen with Id 119
120,27,1,76,1,Some Random Commen with Id 120
121,28,4,20,8,Some Random Commen with Id 121
122,29,0,179,6,Some Random Commen with Id 122
123,29,0,182,7,Some Random Commen with Id 123
124,29,0,11,8,Some Random Commen with Id 124
125,29,0,57,6,Some Random Commen with Id 125
126,29,0,163,7,Some Random Commen with Id 126
127,29,0,105,7,Some Random Commen with Id 127
128,31,9,69,4,Some Random Commen with Id 128
129,32,1,138,9,Some Random Commen with Id 129
130,32,1,178,2,Some Random Commen with Id 130
131,32,1,86,5,Some Random Commen with Id 131
132,32,1,172,1,Some Random Commen with Id 132
133,32,1,122,8,Some Random Commen with Id 133
134,33,3,20,3,Some Random Commen with Id 134
135,33,3,142,2,Some Random Commen with Id 135
136,33,3,45,1,Some Random Commen with Id 136
137,34,7,95,0,Some Random Commen with Id 137
138,36,2,110,4,Some Random Commen with Id 138
139,36,2,127,1,Some Random Commen with Id 139
140,36,2,136,6,Some Random Commen with Id 140
141,36,2,90,9,Some Random Commen with Id 141
142,36,2,108,7,Some Random Commen with Id 142
143,36,2,178,7,Some Random Commen with Id 143
144,36,2,39,2,Some Random Commen with Id 144
145,37,7,129,3,Some Random Commen with Id 145
146,37,7,140,4,Some Random Commen with Id 146
147,38,8,87,3,Some Random Commen with Id 147
148,38,8,3,4,Some Random Commen with Id 148
149,38,8,174,5,Some Random Commen with Id 149
150,38,8,92,6,Some Random Commen with Id 150
151,38,8,75,3,Some Random Commen with Id 151
152,38,8,36,5,Some Random Commen with Id 152
153,38,8,145,4,Some Random Commen with Id 153
154,38,8,13,8,Some Random Commen with Id 154
155,38,8,84,9,Some Random Commen with Id 155
156,39,6,194,1,Some Random Commen with Id 156
157,39,6,103,1,Some Random Commen with Id 157
158,39,6,117,1,Some Random Commen with Id 158
159,39,6,16,8,Some Random Commen with Id 159
